Region,Comuna,Prom_Proy_Poblacion,Muertes_60,Muertes_Total,Porcentaje_60
Tarapacá,Camiña,1275.0,22,27,81.5
Tarapacá,Colchane,1683.5,13,16,81.2
Tarapacá,Huara,2967.17,50,68,73.5
Tarapacá,Iquique,201140.83,4679,6146,76.1
Tarapacá,Pica,6647.83,127,162,78.4
Tarapacá,Pozo Almonte,14451.17,222,311,71.39999999999999
Antofagasta,Antofagasta,392483.83,8554,11344,75.4
Antofagasta,Calama,183147.0,3001,4266,70.3
Antofagasta,María Elena,4762.33,65,93,69.89999999999999
Antofagasta,Mejillones,11862.67,184,271,67.9
Antofagasta,Ollagüe,309.0,1,1,100.0
Antofagasta,San Pedro de Atacama,7944.67,107,184,58.199999999999996
Antofagasta,Sierra Gorda,3230.33,8,22,36.4
Antofagasta,Taltal,13337.67,286,384,74.5
Antofagasta,Tocopilla,28071.33,836,1043,80.2
Atacama,Alto del Carmen,6570.83,168,198,84.8
Atacama,Caldera,18227.17,359,477,75.3
Atacama,Chañaral,13629.67,329,418,78.7
Atacama,Copiapó,180301.67,3450,4400,78.4
Atacama,Diego de Almagro,14506.0,209,290,72.1
Atacama,Freirina,7113.17,188,226,83.2
Atacama,Huasco,10679.67,263,337,78.0
Atacama,Tierra Amarilla,18014.5,212,299,70.89999999999999
Atacama,Vallenar,53612.5,1525,1881,81.10000000000001
Coquimbo,Andacollo,11581.33,315,396,79.5
Coquimbo,Canela,9895.0,327,379,86.3
Coquimbo,Combarbalá,15482.5,563,647,87.0
Coquimbo,Coquimbo,244730.33,5604,6991,80.2
Coquimbo,Illapel,32920.67,977,1188,82.19999999999999
Coquimbo,La Higuera,4760.67,75,96,78.10000000000001
Coquimbo,La Serena,227206.17,5501,6839,80.4
Coquimbo,Los Vilos,20436.0,580,723,80.2
Coquimbo,Monte Patria,34107.17,814,1001,81.3
Coquimbo,Ovalle,123839.33,3145,3900,80.60000000000001
Coquimbo,Paihuano,4501.5,131,149,87.9
Coquimbo,Punitaqui,10939.17,288,360,80.0
Coquimbo,Río Hurtado,4981.5,162,194,83.5
Coquimbo,Salamanca,27538.83,768,928,82.8
Coquimbo,Vicuña,26892.67,730,896,81.5
Valparaíso,Algarrobo,10758.67,435,518,84.0
Valparaíso,Cabildo,20126.67,574,717,80.10000000000001
Valparaíso,Calle Larga,15175.17,303,384,78.9
Valparaíso,Cartagena,20638.5,725,914,79.3
Valparaíso,Casablanca,30067.83,767,923,83.1
Valparaíso,Catemu,14184.67,381,488,78.10000000000001
Valparaíso,Concón,52260.67,976,1200,81.3
Valparaíso,El Quisco,13780.0,489,608,80.4
Valparaíso,El Tabo,10723.17,415,516,80.4
Valparaíso,Isla de Pascua,6964.67,124,167,74.3
