index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,9,2,5,6,12,14,17,13,8,10,4,5
10,4,5,4,2,0,8,6,1,4,3,6,2
20,10,12,9,8,5,14,11,5,8,6,6,4
30,10,14,13,9,10,15,18,22,6,11,9,12
40,20,30,34,19,33,27,36,38,22,29,20,21
50,70,54,69,76,89,100,101,104,71,71,49,52
60,226,167,205,194,236,246,300,281,238,201,175,147
70,458,395,432,493,484,623,651,590,514,463,368,394
80,899,716,800,866,864,1171,1240,1134,978,896,761,742
90,658,523,642,592,687,850,899,849,783,624,583,558
100,55,52,55,61,63,63,106,85,68,64,66,49
110,1,0,1,0,0,0,1,0,0,0,0,0
