index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,1,3,1,3,2,1,2,3,3,2,1,2
10,3,1,0,1,2,2,3,1,1,1,4,1
20,6,5,9,3,2,3,6,3,5,2,4,3
30,12,4,5,10,9,8,2,14,11,9,5,9
40,15,20,24,16,21,6,12,18,14,12,17,17
50,43,39,53,46,38,48,39,38,41,38,23,31
60,112,79,115,105,114,94,99,108,81,90,78,95
70,222,193,237,203,171,193,189,186,202,193,149,173
80,365,278,345,297,283,319,294,316,269,275,235,287
90,217,171,218,154,180,202,193,169,187,171,149,177
100,19,21,16,9,8,14,18,13,13,14,14,11
110,1,0,0,0,0,0,0,0,0,0,0,0
