index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,0,2,1,2,0,1,1,3,2,1,0,0
10,2,1,0,1,2,1,1,1,1,0,3,1
20,4,5,7,1,2,2,3,3,2,2,3,3
30,10,1,3,7,7,7,1,11,10,9,2,7
40,12,16,13,14,11,6,7,12,10,8,9,14
50,29,24,30,31,27,36,26,19,27,26,18,20
60,73,42,70,63,73,53,67,66,50,56,47,68
70,120,111,144,124,98,116,108,105,116,106,90,107
80,183,137,180,143,154,158,157,154,147,131,111,142
90,72,60,85,65,68,82,84,63,76,69,60,53
100,5,6,3,1,1,3,5,7,3,0,3,1
110,0,0,0,0,0,0,0,0,0,0,0,0
