index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,1,1,0,1,2,0,1,0,1,1,1,2
10,1,0,0,0,0,1,2,0,0,1,1,0
20,2,0,2,2,0,1,3,0,3,0,1,0
30,2,3,2,3,2,1,1,3,1,0,3,2
40,3,4,11,2,10,0,5,6,4,4,8,3
50,14,15,23,15,11,12,13,19,14,12,5,11
60,39,37,45,42,41,41,32,42,31,34,31,27
70,102,82,93,79,73,77,81,81,86,87,59,66
80,182,141,165,154,129,161,137,162,122,144,124,145
90,145,111,133,89,112,120,109,106,111,102,89,124
100,14,15,13,8,7,11,13,6,10,14,11,10
110,1,0,0,0,0,0,0,0,0,0,0,0
