index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,15,13,13,17,23,32,45,24,20,25,9,13
10,11,13,12,7,5,18,14,8,11,9,15,5
20,27,28,32,18,25,38,30,26,24,19,18,20
30,38,38,47,41,29,53,40,66,40,47,32,33
40,93,97,102,83,88,101,115,115,75,80,68,73
50,230,184,207,219,266,317,310,265,239,188,166,170
60,537,420,537,511,618,647,707,662,564,481,409,421
70,1061,934,1032,1101,1092,1391,1440,1293,1184,1089,918,902
80,1762,1421,1556,1665,1771,2232,2350,2171,1927,1725,1420,1461
90,1009,829,1012,974,1122,1354,1415,1360,1211,998,919,881
100,78,71,74,77,79,97,134,115,88,80,90,60
110,1,0,1,0,2,0,1,0,0,0,0,0
