index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,6,11,8,11,11,18,28,11,12,15,5,8
10,7,8,8,5,5,10,8,7,7,6,9,3
20,17,16,23,10,20,24,19,21,16,13,12,16
30,28,24,34,32,19,38,22,44,34,36,23,21
40,73,67,68,64,55,74,79,77,53,51,48,52
50,160,130,138,143,177,217,209,161,168,117,117,118
60,311,253,332,317,382,401,407,381,326,280,234,274
70,603,538,600,608,608,768,789,703,670,626,550,508
80,863,705,756,799,907,1061,1110,1037,949,829,659,719
90,351,306,370,382,435,504,516,511,428,374,336,323
100,23,19,19,16,16,34,28,30,20,16,24,11
110,0,0,0,0,2,0,0,0,0,0,0,0
