Región,Comuna,IDSE,Percapita,Esperanza de vida al nacer
Metropolitana,Vitacura,0.992,1143.1,82
Metropolitana,Las Condes,0.97,953,82.2
Metropolitana,Providencia,0.968,966.7,80
Metropolitana,Ñuñoa,0.892,569.3,79.4
Metropolitana,Santiago,0.833,487.5,76
Metropolitana,La Reina,0.831,530.5,80
Metropolitana,Lo Barnechea,0.809,587.9,80.9
Metropolitana,San Miguel,0.783,339,75.7
Metropolitana,La Florida,0.741,261.2,80.4
Metropolitana,Maipu,0.741,260.9,81
Metropolitana,Independencia,0.731,243,71.4
Metropolitana,La Cisterna,0.724,235,77.4
Metropolitana,Quilicura,0.693,191.5,78.2
Metropolitana,Estación Central,0.686,207.3,76.3
Metropolitana,Macul,0.683,204.1,79
Metropolitana,Talagante,0.682,238.4,78.1
Metropolitana,Quinta Normal,0.677,198.5,76
Metropolitana,Cerrillos,0.677,209,77.4
Metropolitana,Puente Alto,0.676,175,79.2
Metropolitana,Calera de Tango,0.669,246,78.2
Metropolitana,Peñalolén,0.668,237,77.9
Metropolitana,Peñaflor,0.668,214.5,77.2
Metropolitana,Pudahuel,0.667,184.8,78.4
Metropolitana,Colina ,0.663,182.9,77.7
Metropolitana,Conchali,0.662,187,76.1
Metropolitana,Pedro Aguirre Cerda,0.657,171.7,76.8
Metropolitana,Huechuraba,0.655,219.4,77.3
Metropolitana,Pirque,0.652,187.6,78
Metropolitana,Lo Prado,0.648,170.1,76.8
Metropolitana,San José de Maipo,0.648,256.2,76.7
Metropolitana,Buin,0.639,195.1,77.3
Metropolitana,San Joaquín,0.636,178.5,76.4
Metropolitana,Recoleta,0.632,167,75.6
Metropolitana,Curacaví,0.621,167.5,78.3
Metropolitana,El Bosque,0.611,161,77.1
Metropolitana,Padre Hurtado,0.609,155.1,78.1
Metropolitana,San Bernardo,0.605,154.7,76.7
Metropolitana,Lo Espejo,0.602,151.3,75.4
Metropolitana,Renca,0.596,152.2,76.4
Metropolitana,Isla de Maipo,0.593,150.1,76.9
Metropolitana,La Granja,0.592,149.8,76.7
Metropolitana,Paine,0.59,165.1,78.4
Metropolitana,Melipilla,0.589,166.7,76.9
Metropolitana,El Monte,0.583,172.7,77.7
Metropolitana,Tiltil,0.579,163.8,76.3
Metropolitana,San Ramón,0.575,157,76.3
Metropolitana,Cerro Navia,0.562,141.3,75.8
Metropolitana,La Pintana,0.561,135.8,77.2
Metropolitana,Lampa,0.55,140.2,77.3
Metropolitana,Alhué,0.546,175.1,75.7
Metropolitana,María Pinto,0.542,140.3,76.6
Metropolitana,San Pedro,0.484,141.3,77.6
